Keypoints,Class
"[[0.38464415 0.1362806  0.8281658 ]
 [0.3697034  0.1533017  0.85407734]
 [0.3691435  0.15169206 0.89425856]
 [0.38775355 0.19572549 0.69905853]
 [0.3850672  0.19616032 0.8273761 ]
 [0.47747013 0.20220621 0.8834281 ]
 [0.464431   0.22868319 0.7684443 ]
 [0.6487071  0.20305437 0.9194411 ]
 [0.6091101  0.22506012 0.616111  ]
 [0.6564205  0.07448418 0.7982748 ]
 [0.6226583  0.10667352 0.5231308 ]
 [0.6039061  0.46572292 0.7406471 ]
 [0.58169764 0.4682582  0.67422765]
 [0.62341565 0.6966636  0.6292859 ]
 [0.59645706 0.68133456 0.8549234 ]
 [0.61832863 0.92614985 0.775661  ]
 [0.5939202  0.89419353 0.7189044 ]]"
"[[0.3267169  0.2586763  0.8514401 ]
 [0.30646023 0.27972636 0.81108266]
 [0.3058884  0.27129897 0.8580304 ]
 [0.31799683 0.34019282 0.90130377]
 [0.31477356 0.32461444 0.7497413 ]
 [0.43014443 0.38018903 0.7747426 ]
 [0.4205912  0.29435337 0.83478326]
 [0.6179357  0.31400815 0.85327834]
 [0.5785063  0.22406174 0.91881835]
 [0.72598517 0.18456756 0.85435975]
 [0.66660607 0.11623943 0.7406323 ]
 [0.6425501  0.48249847 0.8578082 ]
 [0.62378764 0.45493665 0.77923256]
 [0.67178607 0.7155398  0.6678902 ]
 [0.64335734 0.68426985 0.72327507]
 [0.65775543 0.92484295 0.85612464]
 [0.63237566 0.85704005 0.89114   ]]"
"[[0.39944166 0.8792773  0.7827451 ]
 [0.38208148 0.86930215 0.8252503 ]
 [0.38187382 0.8692182  0.8393733 ]
 [0.38507685 0.8241825  0.6575826 ]
 [0.3872374  0.8220169  0.8168036 ]
 [0.46635875 0.76700544 0.78457344]
 [0.472046   0.7800441  0.7852854 ]
 [0.6295685  0.76542854 0.67672503]
 [0.6450579  0.77404934 0.90743876]
 [0.63480425 0.89581203 0.5926374 ]
 [0.6499564  0.9128619  0.7169954 ]
 [0.5978905  0.5884203  0.85157174]
 [0.6101463  0.5856794  0.83073235]
 [0.6303557  0.3428889  0.8217849 ]
 [0.64193314 0.333803   0.7828728 ]
 [0.6319694  0.1236409  0.7464313 ]
 [0.6479133  0.08705705 0.77744466]]"
"[[0.42706203 0.8918071  0.6264095 ]
 [0.4084092  0.8792858  0.693403  ]
