Keypoints,Class
"[[0.21823168 0.08989958 0.818226  ]
 [0.21668696 0.11834262 0.72028744]
 [0.21658903 0.11958611 0.90239394]
 [0.2763956  0.14401643 0.9079427 ]
 [0.2755903  0.14614835 0.91599727]
 [0.39250615 0.11103594 0.8874367 ]
 [0.3814419  0.13136597 0.7604971 ]
 [0.6033214  0.13270502 0.7851427 ]
 [0.59437597 0.1384477  0.7141385 ]
 [0.787706   0.1781064  0.9158549 ]
 [0.7436681  0.18419714 0.7985805 ]
 [0.6687318  0.26424605 0.9075323 ]
 [0.65111434 0.2681387  0.78089106]
 [0.74688274 0.5534595  0.86957747]
 [0.7156696  0.54741997 0.8571043 ]
 [0.772384   0.8458132  0.71275806]
 [0.7367923  0.8164699  0.8454667 ]]"
"[[0.22294919 0.9408567  0.7773477 ]
 [0.22013824 0.9155906  0.654409  ]
 [0.2207645  0.91434395 0.8548622 ]
 [0.26874235 0.89018476 0.7389623 ]
 [0.2693766  0.8881345  0.8979021 ]
 [0.37163854 0.87665474 0.8767492 ]
 [0.38350073 0.8910556  0.7730452 ]
 [0.5702708  0.8246559  0.8025154 ]
 [0.58525157 0.8349877  0.9659518 ]
 [0.72324777 0.79977965 0.65740645]
 [0.7498726  0.8039183  0.9267982 ]
 [0.607333   0.7090026  0.8907935 ]
 [0.62016326 0.71451026 0.9042791 ]
 [0.6747331  0.42062235 0.63967943]
 [0.68867517 0.41982087 0.7950353 ]
 [0.70971644 0.15168478 0.7055181 ]
 [0.7283329  0.13577518 0.76497716]]"
"[[0.26989326 0.9757834  0.8950731 ]
 [0.24917969 0.9608195  0.8647823 ]
 [0.2489439  0.9618793  0.66624546]
 [0.26193365 0.90237206 0.87853575]
 [0.26231128 0.9027956  0.8313125 ]
 [0.3774969  0.85730684 0.8932293 ]
 [0.3925184  0.875138   0.660578  ]
 [0.5826983  0.840562   0.6730131 ]
 [0.6052051  0.8509174  0.94502133]
 [0.7340609  0.8257518  0.72195494]
 [0.79572237 0.8443979  0.87645847]
 [0.6034872  0.67432994 0.89397717]
 [0.626991   0.6872084  0.9064473 ]
 [0.687277   0.38369587 0.8389986 ]
 [0.71884626 0.3880795  0.80301225]
 [0.7201189  0.12955081 0.8508968 ]
 [0.76470697 0.10161958 0.77600807]]"
"[[0.23203336 0.88909024 0.71635354]
 [0.22558565 0.8612633  0.8239909 ]
 [0.22657269 0.86136484 0.83968675]
 [0.2750779  0.8291814  0.8372102 ]
 [0.27635127 0.82817125 0.8013917 ]
 [0.38926566 0.82817197 0.8393248 ]
 [0.39767885 0.85833925 0.8167172 ]
 [0.57817245 0.8223942  0.6983114 ]
 [0.5912345  0.86858547 0.92178416]
 [0.7468272  0.8467249  0.6223301 ]
 [0.7669749  0.86998683 0.9515887 ]
 [0.6448291  0.71354926 0.89468086]
 [0.65823805 0.7288689  0.8335356 ]
 [0.7074844  0.41409293 0.68765855]
 [0.7182828  0.4114331  0.80653465]
 [0.74296445 0.17425129 0.7859131 ]
 [0.76342446 0.14850895 0.7307091 ]]"
"[[0.30692124 0.05002589 0.7997917 ]
 [0.28866464 0.06307696 0.8333666 ]
 [0.2873243  0.06338149 0.7670069 ]
 [0.30189762 0.11954707 0.8983375 ]
